d;d2;d3;m;z
15;14,5;16,75;1,25;12
16,25;15,5;17,75;1,25;13
17,5;17,5;19,75;1,25;14
18;17;19,7;1,25;12
19,5;19;21,7;1,5;22
22,5;22;24,7;1,5;25
24;23;25,7;1,5;26
24,5;24,5;27,65;1,75;14
28;26,5;29,65;1,75;16
29,75;28,5;31,65;1,75;17
32;31;34,6;2;16
34;33;36,6;2;17
36;36;39,6;2;18
38;38;41,6;2;20
42;41;44,6;2;21
44;44;47,6;2;22
48;48;51,6;2;24
50;50;54,5;2,5;20
55;55;59,5;2,5;22
60;60;64,5;2,5;24
65;65;69,5;2,5;26
75;75;79,5;2,5;30
80;80;84,5;3;32
90;89;94,4;3;30
96;94;99,4;3;32
102;99;104,4;3;34
114;114;119,4;3;38
130;130;139;5;26
150;150;159;5;30
180;180;189;5;36
210;210;219;5;42
240;240;249;5;48
270;270;279;5;54
330;330;341,4;8;41
408;404;418,4;8;51